1	Маслака	Жанна	Петровна	7800000112018	2018.01.01	4282	450721	1981.10.22	79696817193	janna22101981@mail.ru	Россия, г. Ставрополь, ЯнкиКупалы ул., д. 16 кв.118
2	Янов	Игнатий	Тимофеевич	7800000332018	2018.03.03	4439	706015	1987.09.04	79076759140	ignatiy1987@yandex.ru	Россия, г. Дербент, Речной пер., д. 16 кв.51
3	Быкова	Ольга	Герасимовна	7800000662019	2019.06.06	4774	849631	1971.04.28	79801657286	olga21@yandex.ru	Россия, г. Люберцы, Максима Горького ул., д. 4 кв.144
4	Илюшин	Тимофей	Савванович	7800000882019	2019.08.08	4085	748295	1965.09.05	79272211795	timofey05091965@yandex.ru	Россия, г. Щёлково, Дружбы ул., д. 17 кв.19
5	Левковича	Василиса	Вячеславовна	78000010102019	2019.10.10	4071	593651	1988.11.16	79382491091	vasilisa1988@yandex.ru	Россия, г. Владимир, Чапаева ул., д. 7 кв.212
6	Шеляпин	Роман	Викторович	7800001352019	2019.05.13	4148	271134	1968.05.10	79339547529	roman10051968@hotmail.com	Россия, г. Ярославль, Первомайская ул., д. 19 кв.122
7	Стукалов	Яков	Ильич	7800001682019	2019.08.16	4098	479713	1966.05.21	79404768972	yakov2699@outlook.com	Россия, г. Пушкино, Радужная ул., д. 20 кв.100
8	Золотова	Рада	Юлиановна	7800002082018	2018.08.20	4438	240819	1984.07.01	79829139579	rada29@rambler.ru	Россия, г. Нальчик, Гагарина ул., д. 12 кв.155
9	Ярмоленко	Ева	Серафимовна	7800002442020	2020.04.24	4677	708908	1992.02.17	79544264681	eva1992@ya.ru	Россия, г. Екатеринбург, Октябрьский пер., д. 12 кв.21
10	Тизенгаузена	Светлана	Георгьевна	7800002722020	2020.02.27	4321	448056	1973.02.22	79129308223	svetlana57@gmail.com	Россия, г. Новошахтинск, Гагарина ул., д. 21 кв.101
11	Ёжиков	Валерий	Давидович	7800003052020	2020.05.02	4716	277897	1982.09.03	79477869296	valeriy77@yandex.ru	Россия, г. Коломна, Ленина В.И.ул., д. 14 кв.87
12	Сазонтов	Илья	Панкратович	7800000272020	2020.07.04	4078	955891	1968.10.01	79399631537	ilya86@hotmail.com	Россия, г. Тюмень, Колхозная ул., д. 16 кв.219
